Source,Destination,Source port,Destination port,Version
192.168.1.5,192.168.1.1,64844.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64843.0,4
192.168.1.1,192.168.1.5,53.0,64844.0,4
192.168.1.5,34.107.221.82,64425.0,80.0,4
192.168.1.5,192.168.1.1,64845.0,53.0,4
192.168.1.5,192.168.1.1,64846.0,53.0,4
192.168.1.5,192.168.1.1,64847.0,53.0,4
192.168.1.5,192.168.1.1,64848.0,53.0,4
34.107.221.82,192.168.1.5,80.0,64425.0,4
192.168.1.1,192.168.1.5,53.0,64845.0,4
192.168.1.1,192.168.1.5,53.0,64846.0,4
192.168.1.5,34.117.237.239,64426.0,443.0,4
34.117.237.239,192.168.1.5,443.0,64426.0,4
192.168.1.1,192.168.1.5,53.0,64847.0,4
192.168.1.1,192.168.1.5,53.0,64848.0,4
192.168.1.5,192.168.1.1,64849.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64849.0,4
192.168.1.5,34.149.100.209,64427.0,443.0,4
192.168.1.5,192.168.1.1,64850.0,53.0,4
192.168.1.5,192.168.1.1,64851.0,53.0,4
34.149.100.209,192.168.1.5,443.0,64427.0,4
192.168.1.1,192.168.1.5,53.0,64850.0,4
192.168.1.1,192.168.1.5,53.0,64851.0,4
192.168.1.5,34.149.97.1,64852.0,443.0,4
34.149.97.1,192.168.1.5,443.0,64852.0,4
192.168.1.5,192.168.1.1,64853.0,53.0,4
192.168.1.5,192.168.1.1,64854.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64853.0,4
192.168.1.1,192.168.1.5,53.0,64854.0,4
192.168.1.5,23.60.169.11,64428.0,80.0,4
192.168.1.5,23.60.169.11,64429.0,80.0,4
192.168.1.5,23.60.169.11,64430.0,80.0,4
192.168.1.5,34.149.97.1,64431.0,443.0,4
192.168.1.5,192.168.1.1,64855.0,53.0,4
192.168.1.5,192.168.1.1,64856.0,53.0,4
23.60.169.11,192.168.1.5,80.0,64428.0,4
23.60.169.11,192.168.1.5,80.0,64429.0,4
23.60.169.11,192.168.1.5,80.0,64430.0,4
34.149.97.1,192.168.1.5,443.0,64431.0,4
192.168.1.1,192.168.1.5,53.0,64855.0,4
192.168.1.1,192.168.1.5,53.0,64856.0,4
192.168.1.5,34.160.144.191,64432.0,443.0,4
34.160.144.191,192.168.1.5,443.0,64432.0,4
192.168.1.5,192.168.1.1,64857.0,53.0,4
192.168.1.5,192.168.1.1,64858.0,53.0,4
192.168.1.5,192.168.1.1,64859.0,53.0,4
192.168.1.5,192.168.1.1,64860.0,53.0,4
192.168.1.5,192.168.1.1,64861.0,53.0,4
192.168.1.5,192.168.1.1,64862.0,53.0,4
192.168.1.5,192.168.1.1,64863.0,53.0,4
192.168.1.5,192.168.1.1,64864.0,53.0,4
192.168.1.5,192.168.1.1,64865.0,53.0,4
192.168.1.5,192.168.1.1,64866.0,53.0,4
192.168.1.5,192.168.1.1,64867.0,53.0,4
192.168.1.5,192.168.1.1,64868.0,53.0,4
192.168.1.5,192.168.1.1,64869.0,53.0,4
192.168.1.5,192.168.1.1,64870.0,53.0,4
192.168.1.5,192.168.1.1,64871.0,53.0,4
192.168.1.5,192.168.1.1,64872.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64859.0,4
192.168.1.1,192.168.1.5,53.0,64860.0,4
192.168.1.5,192.168.1.1,64873.0,53.0,4
192.168.1.5,192.168.1.1,64874.0,53.0,4
192.168.1.5,192.168.1.1,64875.0,53.0,4
192.168.1.5,192.168.1.1,64876.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64861.0,4
192.168.1.1,192.168.1.5,53.0,64862.0,4
192.168.1.5,192.168.1.1,64877.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64863.0,4
192.168.1.5,192.168.1.1,64878.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64864.0,4
192.168.1.5,192.168.1.1,64879.0,53.0,4
192.168.1.5,192.168.1.1,64880.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64865.0,4
192.168.1.1,192.168.1.5,53.0,64866.0,4
192.168.1.1,192.168.1.5,53.0,64867.0,4
192.168.1.5,192.168.1.1,64881.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64868.0,4
192.168.1.5,192.168.1.1,64882.0,53.0,4
192.168.1.5,192.168.1.1,64883.0,53.0,4
192.168.1.5,192.168.1.1,64884.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64869.0,4
192.168.1.5,192.168.1.1,64885.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64870.0,4
192.168.1.5,192.168.1.1,64886.0,53.0,4
192.168.1.5,192.168.1.1,64887.0,53.0,4
192.168.1.5,192.168.1.1,64888.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64871.0,4
192.168.1.5,192.168.1.1,64889.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64872.0,4
192.168.1.5,192.168.1.1,64890.0,53.0,4
192.168.1.5,192.168.1.1,64891.0,53.0,4
192.168.1.5,192.168.1.1,64892.0,53.0,4
192.168.1.5,192.168.1.1,64893.0,53.0,4
192.168.1.5,192.168.1.1,64894.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64873.0,4
192.168.1.5,192.168.1.1,64895.0,53.0,4
192.168.1.5,192.168.1.1,64896.0,53.0,4
192.168.1.5,192.168.1.1,64897.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64874.0,4
192.168.1.5,192.168.1.1,64898.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64875.0,4
192.168.1.1,192.168.1.5,53.0,64876.0,4
192.168.1.5,192.168.1.1,64899.0,53.0,4
192.168.1.5,192.168.1.1,64900.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64877.0,4
192.168.1.1,192.168.1.5,53.0,64878.0,4
192.168.1.1,192.168.1.5,53.0,64879.0,4
192.168.1.1,192.168.1.5,53.0,64880.0,4
192.168.1.1,192.168.1.5,53.0,64881.0,4
192.168.1.5,192.168.1.1,64901.0,53.0,4
192.168.1.5,192.168.1.1,64902.0,53.0,4
192.168.1.5,192.168.1.1,64903.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64883.0,4
192.168.1.5,192.168.1.1,64904.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64884.0,4
192.168.1.1,192.168.1.5,53.0,64885.0,4
192.168.1.1,192.168.1.5,53.0,64886.0,4
192.168.1.1,192.168.1.5,53.0,64887.0,4
192.168.1.1,192.168.1.5,53.0,64888.0,4
192.168.1.1,192.168.1.5,53.0,64899.0,4
192.168.1.1,192.168.1.5,53.0,64900.0,4
192.168.1.1,192.168.1.5,53.0,64901.0,4
192.168.1.1,192.168.1.5,53.0,64904.0,4
192.168.1.1,192.168.1.5,53.0,64889.0,4
192.168.1.1,192.168.1.5,53.0,64890.0,4
192.168.1.1,192.168.1.5,53.0,64891.0,4
192.168.1.5,192.168.1.1,64905.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64892.0,4
192.168.1.1,192.168.1.5,53.0,64893.0,4
192.168.1.1,192.168.1.5,53.0,64905.0,4
192.168.1.1,192.168.1.5,53.0,64894.0,4
192.168.1.1,192.168.1.5,53.0,64895.0,4
192.168.1.1,192.168.1.5,53.0,64896.0,4
192.168.1.1,192.168.1.5,53.0,64897.0,4
192.168.1.5,192.168.1.1,64906.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64898.0,4
192.168.1.1,192.168.1.5,53.0,64902.0,4
192.168.1.5,192.168.1.1,64907.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64903.0,4
192.168.1.1,192.168.1.5,53.0,64906.0,4
192.168.1.1,192.168.1.5,53.0,64857.0,4
192.168.1.1,192.168.1.5,53.0,64907.0,4
192.168.1.5,34.120.115.102,64433.0,443.0,4
34.120.115.102,192.168.1.5,443.0,64433.0,4
192.168.1.1,192.168.1.5,53.0,64858.0,4
192.168.1.5,192.168.1.1,64908.0,53.0,4
192.168.1.5,192.168.1.1,64909.0,53.0,4
192.168.1.5,192.168.1.1,64910.0,53.0,4
192.168.1.5,192.168.1.1,64911.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64908.0,4
192.168.1.1,192.168.1.5,53.0,64909.0,4
192.168.1.5,142.250.182.42,64434.0,443.0,4
192.168.1.1,192.168.1.5,53.0,64910.0,4
192.168.1.1,192.168.1.5,53.0,64911.0,4
142.250.182.42,192.168.1.5,443.0,64434.0,4
192.168.1.5,192.168.1.1,64912.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64912.0,4
192.168.1.5,192.168.1.1,64913.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64913.0,4
192.168.1.5,34.107.243.93,64435.0,443.0,4
34.107.243.93,192.168.1.5,443.0,64435.0,4
192.168.1.5,192.168.1.1,64914.0,53.0,4
192.168.1.5,192.168.1.1,64915.0,53.0,4
192.168.1.5,192.168.1.1,64916.0,53.0,4
192.168.1.5,192.168.1.1,64917.0,53.0,4
192.168.1.5,34.149.100.209,64436.0,443.0,4
192.168.1.1,192.168.1.5,53.0,64914.0,4
192.168.1.1,192.168.1.5,53.0,64915.0,4
192.168.1.5,192.168.1.1,64918.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64918.0,4
192.168.1.5,34.120.208.123,64437.0,443.0,4
192.168.1.1,192.168.1.5,53.0,64916.0,4
192.168.1.1,192.168.1.5,53.0,64917.0,4
34.149.100.209,192.168.1.5,443.0,64436.0,4
34.120.208.123,192.168.1.5,443.0,64437.0,4
192.168.1.5,142.250.193.99,64438.0,80.0,4
142.250.193.99,192.168.1.5,80.0,64438.0,4
192.168.1.5,34.107.243.93,64439.0,443.0,4
34.107.243.93,192.168.1.5,443.0,64439.0,4
